Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
HeadOutAssignment,Chrome 72.0.3626.121,,2019-03-10 18:42:26,2019-03-10 18:43:40,1m - 14.005s,PASSED
,,,,,,
Test Cases/001-Navigate_to_URL,Chrome 72.0.3626.121,,2019-03-10 18:42:26,2019-03-10 18:42:39,12.575s,PASSED
"openBrowser("""")",Chrome 72.0.3626.121,,2019-03-10 18:42:28,2019-03-10 18:42:32,4.003s,PASSED
maximizeWindow(),Chrome 72.0.3626.121,,2019-03-10 18:42:32,2019-03-10 18:42:32,0.257s,PASSED
navigateToUrl(URL),Chrome 72.0.3626.121,Open https://www.london-theater-tickets.com/,2019-03-10 18:42:32,2019-03-10 18:42:37,4.902s,PASSED
,,,,,,
Test Cases/002-SearchandBookShow,Chrome 72.0.3626.121,,2019-03-10 18:42:39,2019-03-10 18:43:09,30.390s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:40,2019-03-10 18:42:40,0.167s,PASSED
"setText(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), ShowName)",Chrome 72.0.3626.121,Search for The Simon and Garfunkel Story ,2019-03-10 18:42:40,2019-03-10 18:42:41,1.098s,PASSED
"sendKeys(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/input_SearchBar""), Keys.chord(ENTER))",Chrome 72.0.3626.121,,2019-03-10 18:42:41,2019-03-10 18:42:41,0.236s,PASSED
delay(2),Chrome 72.0.3626.121,,2019-03-10 18:42:41,2019-03-10 18:42:43,2.043s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/h1_The Simon and Garfunkel Story""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:43,2019-03-10 18:42:43,0.054s,PASSED
"waitForElementVisible(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:43,2019-03-10 18:42:43,0.073s,PASSED
"waitForElementClickable(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:43,2019-03-10 18:42:44,0.074s,PASSED
"click(findTestObject(""Page_Book London Theater Tickets  Get Exclusive Deals  Offers/div_Book Now""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-03-10 18:42:44,2019-03-10 18:42:44,0.146s,PASSED
switchToWindowIndex(1),Chrome 72.0.3626.121,,2019-03-10 18:42:44,2019-03-10 18:42:44,0.027s,PASSED
"waitForElementPresent(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:44,2019-03-10 18:42:47,3.529s,PASSED
"scrollToElement(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:47,2019-03-10 18:42:48,0.445s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_DateSelection""), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Pick a date,2019-03-10 18:42:48,2019-03-10 18:42:48,0.483s,PASSED
delay(3),Chrome 72.0.3626.121,,2019-03-10 18:42:48,2019-03-10 18:42:51,3.009s,PASSED
"waitForElementNotPresent(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/div_SpinningLoader""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:51,2019-03-10 18:42:51,0.162s,PASSED
"switchToFrame(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/iframe_seatBooking""), 30)",Chrome 72.0.3626.121,,2019-03-10 18:42:51,2019-03-10 18:42:52,0.284s,PASSED
"click(findTestObject(""Page_The Simon and Garfunkel Story London  Best Prices on West End Tickets/circle_SeatSelection"", [""x"":1]), STOP_ON_FAILURE)",Chrome 72.0.3626.121,Pick a seat,2019-03-10 18:42:52,2019-03-10 18:42:52,0.356s,PASSED
